2025-11-12 01:41:14 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102978.23","breakEvenPrice":"103019.421292","markPrice":"102766.24576087","unRealizedProfit":"-4.23968478","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2055.32491521","isolatedWallet":"0","updateTime":1762891870143,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:14 | INFO | BinanceREST | GET /fapi/v1/exchangeInfo params={'symbol': 'BTCUSDT'}
2025-11-12 01:41:14 | INFO | BinanceREST | RESP 200 {"timezone":"UTC","serverTime":1762853964020,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"BNB","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"ETH","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asset":"USDC","marginAvailable":true,"autoAssetExchange":"-0.10000000"},{"asset":"FDUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"BNFCR","marginAvailable":true,"autoAssetExchange":"-5000"},{"asset":"BFUSD","marginAvailable":true,"autoAssetExchange":"0"},{"asset":"PIPPIN","marginAvailable":true,"autoAssetExchange":"0"}],"symbols":[{"symbol"
2025-11-12 01:41:14 | INFO | BinanceREST | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1762891875393, 'recvWindow': 5000} json=None
2025-11-12 01:41:14 | INFO | BinanceREST | RESP 200 {"orderId":9494719560,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"8mywAPacg5ASJ2xMx6sQNO","price":"0.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1762891875746}
2025-11-12 01:41:15 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891875853, 'recvWindow': 5000}
2025-11-12 01:41:15 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"102978.23","breakEvenPrice":"103281.162104","markPrice":"102766.81967391","unRealizedProfit":"-2.11410326","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.66819673","isolatedWallet":"0","updateTime":1762891875746,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:16 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891877047, 'recvWindow': 5000}
2025-11-12 01:41:16 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.010","entryPrice":"102978.23","breakEvenPrice":"103281.162104","markPrice":"102768.00000000","unRealizedProfit":"-2.10230000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"1027.68000000","isolatedWallet":"0","updateTime":1762891875746,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:17 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891878585, 'recvWindow': 5000}
